Sr No,Date,Startup Name,Industry Vertical,SubVertical,City Location,Investors Name,Investment Type,Amount in USD(K),Amount in INR(K),Remarks,City Tier,No Of Investors,Success
1,2020-01-09,BYJU\u2019S,120,E-learning,4,Tiger Global Maagemet,12,200000.0,17600000.0,No Remark,Tier 1 India,1,1
2,2020-01-13,Shuttl,434,App based shuttle service,17,Susquehaa Growth Equity,20,8048.39,708258.32,No Remark,Tier 1 India,1,1
3,2020-01-09,Mamaearth,119,Retailer of baby and toddler products,4,Sequoia Capital Idia,19,18358.86,1615579.68,No Remark,Tier 1 India,1,1
4,2020-01-02,https://www.wealthbucket.in/,156,Online Investment,36,Viod Khatumal,11,3000.0,264000.0,No Remark,Tier 1 India,1,1
5,2020-01-02,Fashor,143,Embroiled Clothes For Women,33,Sprout Veture Parters,15,1800.0,158400.0,No Remark,Tier 1 India,1,1
6,2020-01-13,Pando,225,"Open-market, freight management platform",11,Chiratae Vetures,18,9000.0,792000.0,No Remark,Tier 1 India,1,1
7,2020-01-10,Zomato,190,Online Food Delivery Platform,17,At Fiacial,12,150000.0,13200000.0,No Remark,Tier 1 India,1,1
8,2019-12-12,Ecozen,430,Agritech,41,Sathguru Catalyzer Advisors,18,6000.0,528000.0,No Remark,Tier 1 India,1,1
9,2019-12-06,CarDekho,119,Automobile,17,Pig A Global Voyager Fud,21,70000.0,6160000.0,No Remark,Tier 1 India,1,1
10,2019-12-03,Dhruva Space,4,Satellite Communication,4,"Mumbai Agels, Ravikath Reddy",15,50000.0,4400000.0,No Remark,Tier 1 India,2,1
11,2019-12-13,Rivigo,430,Logistics Services and Solutions,17,"SAIF Parters, Sprig Cater Ivestmet Ltd.",23,20000.0,1760000.0,No Remark,Tier 1 India,2,1
12,2019-12-17,Healthians,29,Food Solutions For Corporate,4,"Paytm, NPTK, Sabre Parters ad Neoplux",20,12000.0,1056000.0,No Remark,Tier 1 India,3,1
13,2019-12-16,Licious,119,Online Meat And Seafood Ordering Startup,4,Vertex Growth Fud,22,30000.0,2640000.0,No Remark,Tier 1 India,1,1
14,2019-12-16,InCred,150,Non-Banking Financial Company,33,Ukow,3,5900.0,519200.0,No Remark,Tier 1 India,1,1
15,2019-12-14,Trell,449,Experience Discovery Platform,4,Ruizheg Ivestmet,15,2000.0,176000.0,No Remark,Tier 1 India,1,1
16,2019-12-11,Rein Games,171,Real money based gaming startup,38,Maipal Educatio ad Medical Group (MEMG),15,50000.0,4400000.0,No Remark,Tier 1 India,1,1
17,2019-12-20,Lenskart.com,119,Online Eyewear Shopping Portal,14,SoftBak Visio Fud,24,231000.0,20328000.0,No Remark,Tier 1 India,1,1
18,2019-11-13,Freshworks,418,Business and customer engagement tools,43,"Sequoia, CapitalG, Accel",25,150000.0,13200000.0,No Remark,Tier 1 International,3,1
19,2019-11-14,Misters,178,Men's Health and Wellness brand,17,"Sauce.vc, Raiforest Vetures",19,486.0,42768.0,No Remark,Tier 1 India,2,0
20,2019-11-13,Sunstone Eduversity Pvt. Ltd,127,Elearning,17,"Prime Veture Parters, LetsVeture, PS1 Veture ad GlobalLogic co-fouder Rajul Garg",15,1500.0,132000.0,No Remark,Tier 1 India,3,1
21,2019-11-18,Healthians,178,Healthcare services,17,"DG Daiwa Vetures, DG Icubatio",19,12000.0,1056000.0,No Remark,Tier 1 India,2,1
22,2019-11-15,Ninjacart,25,Agritech,4,Trifecta Capital Advisors,3,26000.0,2288000.0,No Remark,Tier 1 India,1,1
23,2019-11-20,Aye Finance,156,Financial Services To MSMEs,17,FiTech,3,17411.26,1532190.88,No Remark,Tier 1 India,1,1
24,2019-11-12,SuperGaming,451,Social gaming platform,41,Dream Icubator,15,1300.0,114400.0,No Remark,Tier 1 India,1,1
25,2019-11-20,Clumio,402,Recovery software,44,"Altimeter Capital, Sutter Hill Vetures",20,135000.0,11880000.0,No Remark,Tier 1 International,2,1
26,2019-11-11,eBikeGo,218,Electric bike rental,1,Startup Buddy,15,300.0,26400.0,No Remark,Tier 2/3 India,1,0
27,2019-11-19,Digital Mall Asia,119,Virtual e-commerce platform,36,Amour Ifrastructure,15,220000.0,19360000.0,No Remark,Tier 1 India,1,1
28,2019-11-18,Medikabazaar,178,B2B platform for medical supplies,33,"Ackermas & va Haare, HealthQuad, Rebright Parters, Toppa Pritig",19,15800.0,1390400.0,No Remark,Tier 1 India,4,1
29,2019-11-15,Vogo Automotive,218,Scooter sharing app,29,"Matrix Parters, Stellaris Veture Parters, Kalaari Capital",19,283000.0,24904000.0,No Remark,Tier 2/3 India,3,1
30,2019-11-19,Furtados School of Music,127,Music Education,50,IAN Fud ad DSG Cosumer Parters,28,200000.0,17600000.0,No Remark,Tier 2/3 India,1,1
31,2019-11-25,Paytm,156,Mobile Wallet,38,Vijay Shekhar Sharma,7,1000000.0,88000000.0,No Remark,Tier 1 India,1,1
32,2019-10-04,Dunzo,94,Delivery Service,4,Lightbox,21,45000.0,3960000.0,No Remark,Tier 1 India,1,1
33,2019-10-02,Udaan,23,Business development,4,"Altimeter Capital, DST Global",21,585000.0,51480000.0,No Remark,Tier 1 India,2,1
34,2019-09-05,FPL Technologies,156,Financial Services,41,"Matrix Parters Idia, Sequoia Idia",9,4500.0,396000.0,No Remark,Tier 1 India,2,1
35,2019-09-04,Cashflo,156,Invoice discounting platform and SME lending marketplace,33,SAIF Parters,18,3300.0,290400.0,No Remark,Tier 1 India,1,1
36,2019-09-04,Digital F5,3,Digital marketing firm,33,TIW Private Equity,12,6000.0,528000.0,No Remark,Tier 1 India,1,1
37,2019-09-04,3rdFlix,402,Education Technology,20,Exfiity Veture Parters,11,5000.0,440000.0,No Remark,Tier 1 India,1,1
38,2019-09-04,75F,209,Building automation system,8,Breakthrough Eergy Vetures,18,18000.0,1584000.0,No Remark,Tier 1 International,1,1
39,2019-09-04,Myelin Foundry,200,Deep-technology,4,Ediya Parters,15,1000.0,88000.0,No Remark,Tier 1 India,1,0
40,2019-09-04,Atomberg Technology,77,"Consumer Electronics, Home Appliances",33,A91 Parters,18,10000.0,880000.0,No Remark,Tier 1 India,1,1
41,2019-09-04,GOQii,178,Wearable Fitness Bands,31,Beett Colema ad Compay Ltd (BCCL),20,450000.0,39600000.0,No Remark,Tier 1 International,1,1
42,2019-09-03,Vyapar App,1,Mobile-based Accounting Software,4,"Idia Quotiet, Axilor Vetures",18,5000.0,440000.0,No Remark,Tier 1 India,2,1
43,2019-08-01,CarDekho,119,Automotive,17,SC GG Idia Mobility Holdigs LLC,20,20000.0,1760000.0,No Remark,Tier 1 India,1,1
44,2019-08-01,Progcap,150,Supply Chain Management,36,Sequoia Idia,18,5000.0,440000.0,No Remark,Tier 1 India,1,1
45,2019-08-01,MyPetrolPump,398,Fuel Delivery,4,Ukow,15,1600.0,140800.0,No Remark,Tier 1 India,1,1
46,2019-08-01,Alteria Capital,150,VC Funds,33,"Azim Premji, Biy Basal",27,140000.0,12320000.0,No Remark,Tier 1 India,2,1
47,2019-08-01,Pine Labs,200,Last-mile retail transaction technology,38,Pie Labs Pte Ltd,1,38080.0,3351040.0,No Remark,Tier 1 India,1,1
48,2019-08-12,Meesho,119,Social Commerce,4,Naspers,21,125000.0,11000000.0,No Remark,Tier 1 India,1,1
49,2019-08-13,Cars24,119,Car Retail,17,MS Dhoi,21,11000.0,968000.0,No Remark,Tier 1 India,1,1
50,2019-08-13,Uniphore,95,Conversational AI,39,March Capital Parters,20,51000.0,4488000.0,No Remark,Tier 1 International,1,1
51,2019-08-23,Zendrive,21,Road Safety Analytics,43,XL Iovate,19,37000.0,3256000.0,No Remark,Tier 1 International,1,1
52,2019-08-23,Lo! Foods,74,Low carb food for Diabetics,4,"Rashmi Daga (fouder, FreshMeu), Ravee Sastry (co-fouder, Mytra) ad Mitesh Shah (fiace chief, BookMyShow)",15,500.0,44000.0,No Remark,Tier 1 India,5,0
53,2019-08-23,Tala,156,Digital Lending Platform,45,RPS Vetures,21,110000.0,9680000.0,No Remark,Tier 1 International,1,1
54,2019-08-22,INDwealth,156,Wealth Management,17,Tiger Global Maagemet,30,15000.0,1320000.0,No Remark,Tier 1 India,1,1
55,2019-08-21,HungerBox,164,B2B Foodtech,4,Oe97 Commuicatios Ltd.,20,6590.0,579920.0,No Remark,Tier 1 India,1,1
56,2019-08-23,AdmitKard,127,University Admissions,38,Growth DNA,15,1000.0,88000.0,No Remark,Tier 1 India,1,0
57,2019-08-19,Grofers,119,Grocery Delivery,17,Softbak Visio Fud,23,70000.0,6160000.0,No Remark,Tier 1 India,1,1
58,2019-08-27,Rapido Bike Taxi,434,Bike Taxi,4,Westbridge Capital,19,3900000.0,343200000.0,No Remark,Tier 1 India,1,1
59,2019-07-02,RenewBuy,150,Auto Insurance,17,"Lok Capital, IIFL Wealth",19,19000.0,1672000.0,No Remark,Tier 1 India,2,1
60,2019-07-02,Atlan,200,Big Data,46,WaterBridge Vetures,11,2500.0,220000.0,No Remark,Tier 1 International,1,1
61,2019-07-01,WizCounsel,73,Consulting,36,Kapil Dev,0,145.0,12760.0,No Remark,Tier 1 India,1,0
62,2019-07-03,Ola Cabs,433,Cabs,29,"DIG Ivestmet Ab, Deshe Holdigs, Samih Touka ad Hussam Khoury",26,1000.0,88000.0,No Remark,Tier 2/3 India,3,0
63,2019-07-01,Uniphore,14,Speech Recognition,48,March Capital Parters,20,38080.0,3351040.0,No Remark,Tier 2/3 India,1,1
64,2019-07-04,Daalchini Technologies,164,Digital Vending Machine,36,Artha Veture,15,500.0,44000.0,No Remark,Tier 1 India,1,0
65,2019-07-10,"""BYJU\\\\'S""",127,Education,4,Qatar Ivestmet Authority,12,150000.0,13200000.0,No Remark,Tier 1 India,1,1
66,2019-07-11,Moglix,119,Industrial Tools and Equipments,46,"Composite Capital Maagemet, Sequoia Capital Idia, Tiger Global Maagemet",21,60000.0,5280000.0,No Remark,Tier 1 International,3,1
67,2019-07-10,Ezyhaul,430,Logistics,46,Udisclosed,19,16000.0,1408000.0,No Remark,Tier 1 International,1,1
68,2019-07-10,Indus OS,430,Smartphone Operating System,2,Vetureast,19,5750.0,506000.0,No Remark,Tier 2/3 India,1,1
69,2019-07-10,HealthAssure,178,Primary care medical network,33,Blume Vetures,18,2500.0,220000.0,No Remark,Tier 1 India,1,1
70,2019-07-09,House of Msasaba,228,Clothes and Apparel,33,Biy Basal,18,1000.0,88000.0,No Remark,Tier 1 India,1,0
71,2019-07-08,Board Infinity,127,Full-stack career platform,10,Multiple Agel Ivestors,0,319.6,28124.8,No Remark,Tier 2/3 India,1,0
72,2019-06-05,NoBroker,119,Real Estate,4,Geeral Atlatic,20,51000.0,4488000.0,No Remark,Tier 1 India,1,1
73,2019-06-04,Bira91,164,Brewery,36,Aicut Capital,3,10000.0,880000.0,No Remark,Tier 1 India,1,1
74,2019-06-03,FabHotels,119,Hospitality,17,"Goldma Sachs, Accel Parters ad Qualcomm",28,4889.98,430318.24,No Remark,Tier 1 India,2,1
75,2019-06-03,Avail Finance,150,FinTech,4,Matrix Parters,18,9000.0,792000.0,No Remark,Tier 1 India,1,1
76,2019-06-04,BharatPe,150,FinTech,36,Isight Parters,19,75000.0,6600000.0,No Remark,Tier 1 India,1,1
77,2019-06-04,Recykal,462,Optimization,20,"Trito Ivestmet Advisors, Pidilite Idustries director Ajay Parekh",11,26000.0,2288000.0,No Remark,Tier 1 India,2,1
78,2019-06-03,Agara Labs,103,Artificial Intelligence,4,Blume Vetures ad RTP Global,11,2500.0,220000.0,No Remark,Tier 1 India,1,1
79,2019-06-06,Sistema.bio,7,Hybrid Reactor Biodigestor,35,"Shell Foudatio, DILA CAPITAL, Egie RDE Fud, EcoEterprise Fud, EDFIMC (ElectriFI), Edeavor Catalyst Fud, CoCapital, Triodos, Alpha Mudi, ad Ledahad",28,2739.03,241034.64,No Remark,Other,10,1
80,2019-06-06,Chakr Innovation,134,Renewable Energy,36,IAN Fud,18,26000.0,2288000.0,No Remark,Tier 1 India,1,1
81,2019-06-06,Pratilipi,114,E-Books,4,Qimig Veture Parters,19,15109.5,1329636.0,No Remark,Tier 1 India,1,1
82,2019-06-10,Bolo App,114,Video Platform,4,Nexus Veture Parters,15,430.2,37857.6,No Remark,Tier 1 India,1,0
83,2019-06-10,OkCredit,156,Financial Services,19,Tiger Global Maagemet,18,15500.0,1364000.0,No Remark,Other,1,1
84,2019-06-06,Biz2Credit,156,Online Lending Platform,37,WestBridge Capital,19,52000.0,4576000.0,No Remark,Tier 1 International,1,1
85,2019-06-08,Vogo Automotive Pvt. Ltd.,434,Dockless Scooter Rental Company,26,Alteria Capital,3,3584.0,315392.0,No Remark,Other,1,1
86,2019-06-04,Leegality,409,Digital Documentation,33,Mumbai Agels,18,3400.0,299200.0,No Remark,Tier 1 India,1,1
87,2019-05-06,Saahas Zero Waste,462,Optimization,4,C4D Parters,29,868.6,76436.8,No Remark,Tier 1 India,1,0
88,2019-05-01,BlackBuck,433,Logistics,4,"Goldma Sachs Ivestmet Parters ad Silico Valley-based Accel, Welligto, Sequoia Capital, B Capital, LightStreet, Sads Capital ad Iteratioal Fiace Corporatio,",21,150000.0,13200000.0,No Remark,Tier 1 India,6,1
89,2019-05-02,Zenoti,402,Beauty and Wellness Industry,20,Tiger Global Maagemet,20,50000.0,4400000.0,No Remark,Tier 1 India,1,1
90,2019-05-28,Ather Energy,20,Electric Vehicle,4,Sachi Basal,20,51000.0,4488000.0,No Remark,Tier 1 India,1,1
91,2019-05-28,FreshVnF,7,Fresh Agriculture Produces,33,Equaimity Vetures,15,140000.0,12320000.0,No Remark,Tier 1 India,1,1
92,2019-05-30,GlowRoad,119,Retail,4,"Korea Ivestmet Parters, Vertex Vetures",19,11500.0,1012000.0,No Remark,Tier 1 India,2,1
