Sr No,Date,Startup Name,Industry Vertical,SubVertical,City Location,Investors Name,Investment Type,Amount in USD(K),Amount in INR(K),Remarks,City Tier
1,2020-01-09,BYJU\u2019S,E-Tech,E-learning,Bengaluru,Tiger Global Maagemet,Private Equity,200000.0,17600000.0,No Remark,Tier 1 India
2,2020-01-13,Shuttl,Transportation,App based shuttle service,Gurgaon,Susquehaa Growth Equity,Series C,8048.39,708258.32,No Remark,Tier 1 India
3,2020-01-09,Mamaearth,E-Commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital Idia,Series B,18358.86,1615579.68,No Remark,Tier 1 India
4,2020-01-02,https://www.wealthbucket.in/,Fintech,Online Investment,New Delhi,Viod Khatumal,Pre-Series A,3000.0,264000.0,No Remark,Tier 1 India
5,2020-01-02,Fashor,Fashion And Apparel,Embroiled Clothes For Women,Mumbai,Sprout Veture Parters,Seed Funding,1800.0,158400.0,No Remark,Tier 1 India
6,2020-01-13,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Vetures,Series A,9000.0,792000.0,No Remark,Tier 1 India
7,2020-01-10,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,At Fiacial,Private Equity,150000.0,13200000.0,No Remark,Tier 1 India
8,2019-12-12,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,6000.0,528000.0,No Remark,Tier 1 India
9,2019-12-06,CarDekho,E-Commerce,Automobile,Gurgaon,Pig A Global Voyager Fud,Series D,70000.0,6160000.0,No Remark,Tier 1 India
10,2019-12-03,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Agels, Ravikath Reddy",Seed Funding,50000.0,4400000.0,No Remark,Tier 1 India
11,2019-12-13,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,"SAIF Parters, Sprig Cater Ivestmet Ltd.",Series F,20000.0,1760000.0,No Remark,Tier 1 India
12,2019-12-17,Healthians,B2B-Focused Foodtech Startup,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Parters ad Neoplux",Series C,12000.0,1056000.0,No Remark,Tier 1 India
13,2019-12-16,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fud,Series E,30000.0,2640000.0,No Remark,Tier 1 India
14,2019-12-16,InCred,Finance,Non-Banking Financial Company,Mumbai,Ukow,Debt Funding,5900.0,519200.0,No Remark,Tier 1 India
15,2019-12-14,Trell,Video,Experience Discovery Platform,Bengaluru,Ruizheg Ivestmet,Seed Funding,2000.0,176000.0,No Remark,Tier 1 India
16,2019-12-11,Rein Games,Gaming,Real money based gaming startup,Noida,Maipal Educatio ad Medical Group (MEMG),Seed Funding,50000.0,4400000.0,No Remark,Tier 1 India
17,2019-12-20,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBak Visio Fud,Series G,231000.0,20328000.0,No Remark,Tier 1 India
18,2019-11-13,Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,150000.0,13200000.0,No Remark,Tier 1 International
19,2019-11-14,Misters,Health & Wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Raiforest Vetures",Series B,486.0,42768.0,No Remark,Tier 1 India
20,2019-11-13,Sunstone Eduversity Pvt. Ltd,Edtech,Elearning,Gurgaon,"Prime Veture Parters, LetsVeture, PS1 Veture ad GlobalLogic co-fouder Rajul Garg",Seed Funding,1500.0,132000.0,No Remark,Tier 1 India
21,2019-11-18,Healthians,Health & Wellness,Healthcare services,Gurgaon,"DG Daiwa Vetures, DG Icubatio",Series B,12000.0,1056000.0,No Remark,Tier 1 India
22,2019-11-15,Ninjacart,B2B Marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Debt Funding,26000.0,2288000.0,No Remark,Tier 1 India
23,2019-11-20,Aye Finance,Fintech,Financial Services To MSMEs,Gurgaon,FiTech,Debt Funding,17411.26,1532190.88,No Remark,Tier 1 India
