Sr No,Date,Startup Name,Industry Vertical,SubVertical,City Location,Investors Name,Investment Type,Amount in USD(K),Amount in INR(K),Remarks,City Tier,No Of Investors,Success
1,09-01-2020,Byju'S,E-Tech,E-learning,Bengaluru,Tiger Global Maagemet,Private Equity,200000,17600000,No Remark,Tier 1 India,1,1
2,13-01-2020,Shuttl,Transportation,App based shuttle service,Gurgaon,Susquehaa Growth Equity,Series C,8048.39,708258.32,No Remark,Tier 1 India,1,1
3,09-01-2020,Mamaearth,E-Commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital Idia,Series B,18358.86,1615579.68,No Remark,Tier 1 India,1,1
4,02-01-2020,WealthBucket,Fintech,Online Investment,New Delhi,Viod Khatumal,Pre-Series A,3000,264000,No Remark,Tier 1 India,1,1
5,02-01-2020,Fashor,Fashion And Apparel,Embroiled Clothes For Women,Mumbai,Sprout Veture Parters,Seed Funding,1800,158400,No Remark,Tier 1 India,1,1
6,13-01-2020,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Vetures,Series A,9000,792000,No Remark,Tier 1 India,1,1
7,10-01-2020,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,At Fiacial,Private Equity,150000,13200000,No Remark,Tier 1 India,1,1
8,12-12-2019,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,6000,528000,No Remark,Tier 1 India,1,1
9,06-12-2019,Cardekho,E-Commerce,Automobile,Gurgaon,Pig A Global Voyager Fud,Series D,70000,6160000,No Remark,Tier 1 India,1,1
10,03-12-2019,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Agels, Ravikath Reddy",Seed Funding,50000,4400000,No Remark,Tier 1 India,2,1
11,13-12-2019,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,"SAIF Parters, Sprig Cater Ivestmet Ltd.",Series F,20000,1760000,No Remark,Tier 1 India,2,1
12,17-12-2019,Healthians,B2B-Focused Foodtech Startup,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Parters ad Neoplux",Series C,12000,1056000,No Remark,Tier 1 India,3,1
13,16-12-2019,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fud,Series E,30000,2640000,No Remark,Tier 1 India,1,1
14,16-12-2019,Incred,Finance,Non-Banking Financial Company,Mumbai,Ukow,Debt Funding,5900,519200,No Remark,Tier 1 India,1,1
15,14-12-2019,Trell,Video,Experience Discovery Platform,Bengaluru,Ruizheg Ivestmet,Seed Funding,2000,176000,No Remark,Tier 1 India,1,1
16,11-12-2019,Rein Games,Gaming,Real money based gaming startup,Noida,Maipal Educatio ad Medical Group (MEMG),Seed Funding,50000,4400000,No Remark,Tier 1 India,1,1
17,20-12-2019,Lenskart.Com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBak Visio Fud,Series G,231000,20328000,No Remark,Tier 1 India,1,1
18,13-11-2019,Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,150000,13200000,No Remark,Tier 1 International,3,1
19,14-11-2019,Misters,Health & Wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Raiforest Vetures",Series B,486,42768,No Remark,Tier 1 India,2,0
20,13-11-2019,Sunstone Eduversity Pvt. Ltd,Edtech,Elearning,Gurgaon,"Prime Veture Parters, LetsVeture, PS1 Veture ad GlobalLogic co-fouder Rajul Garg",Seed Funding,1500,132000,No Remark,Tier 1 India,3,1
21,18-11-2019,Healthians,Health & Wellness,Healthcare services,Gurgaon,"DG Daiwa Vetures, DG Icubatio",Series B,12000,1056000,No Remark,Tier 1 India,2,1
22,15-11-2019,Ninjacart,B2B Marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Debt Funding,26000,2288000,No Remark,Tier 1 India,1,1
23,20-11-2019,Aye Finance,Fintech,Financial Services To MSMEs,Gurgaon,FiTech,Debt Funding,17411.26,1532190.88,No Remark,Tier 1 India,1,1
24,12-11-2019,Supergaming,Video Games,Social gaming platform,Pune,Dream Icubator,Seed Funding,1300,114400,No Remark,Tier 1 India,1,1
25,20-11-2019,Clumio,Saas,Recovery software,San Jose,"Altimeter Capital, Sutter Hill Vetures",Series C,135000,11880000,No Remark,Tier 1 International,2,1
26,11-11-2019,Ebikego,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed Funding,300,26400,No Remark,Tier 2/3 India,1,0
27,19-11-2019,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,New Delhi,Amour Ifrastructure,Seed Funding,220000,19360000,No Remark,Tier 1 India,1,1
